"id_dependencia","nombre"
569,"DIRECCION GENERAL DE PLANES COMUNICACIONALES"
97,"DIRECCION GENERAL DE PRENSA  (ESTRUCTURA ANTERIOR)"
340,"DIRECCION GENERAL DE PRODUCCION DE CONTENIDO"
104,"DIRECCION GENERAL DE RELACIONES INTERINSTITUCIONALES  (ESTRUCTURA ANTERIOR)"
103,"DIRECCION GENERAL DE RESPONSABILIDAD SOCIAL  (ESTRUCTURA ANTERIOR)"
341,"DIRECCION GENERAL DE RESPONSABILIDAD SOCIAL Y PROD. NAC. INDEPEND."
568,"DIRECCION GENERAL DE SEGUIMIENTO Y POLITICAS"
411,"DIRECCION GENERAL DE TRANSMISIONES"
471,"DIRECCION GENERAL DEL DESPACHO"
470,"DIRECCION GRUPO EDITORIAL"
33,"DIVISION DE PERSONAL  (ESTRCTURA ANTERIOR)"
42,"DIVISION DE PERSONAL  (ESTRUCTURA ANTERIOR)"
40,"DIVISION DE PRESUPUESTO  (ESTRUCTURA ANTERIOR)"
44,"DIVISION DE TRANSMISION  (ESTRUCTURA ANTERIOR)"
32,"JEFATURA SERV. AUTONO. IMP. NAC. Y GACETA (ESTRCTURA ANTERIOR)"
61,"JEFATURA SERVICIO AUTONOMO RADIO VENPRES  (ESTRUCTURA ANTERIOR)"
25,"OFIC. CONSULTORIA Y ANALISIS JURIDICO  (ESTRUCTURA ANTERIOR)"
131,"OFIC. ESTRATEGICA DE SEGUIMIENTO Y EVALUACION DE POLITICAS PUBLICAS"
23,"OFIC. GESTION INTERNA  (ESTRUCTURA ANTERIOR)"
22,"OFIC. INVESTIGACION COMUNICACIONAL (ESTRUCTURA ANTERIOR)"
26,"OFIC. PLANIFICACION Y PRESUPUESTO (ESTRCTURA ANTERIOR)"
84,"OFICINA DE ADMINISTRACION Y FINANZAS  (ESTRUCTURA ANTERIOR)"
72,"OFICINA DE ASUNTOS PRESIDENCIALES  (ESTRUCTURA ANTERIOR)"
540,"OFICINA DE ATENCION CIUDADANA"
222,"OFICINA DE AUDITORIA INTERNA"
228,"OFICINA DE GESTION ADMINISTRATIVA"
229,"OFICINA DE GESTION COMUNICACIONAL"
225,"OFICINA DE GESTION HUMANA"
281,"OFICINA DE INTEGRACION Y ASUNTOS INTERNACIONALES"
143,"OFICINA DE PLANIFICACION  (ESTRUCTURA ANTERIOR)"
488,"OFICINA DE PLANIFICACION Y PRESUPUESTO"
227,"OFICINA DE PRENSA PRESIDENCIAL"
146,"OFICINA DE PRESUPUESTO  (ESTRUCTURA ANTERIOR)"
147,"OFICINA DE RECURSOS HUMANOS  (ESTRUCTURA ANTERIOR)"
280,"OFICINA DE SEGURIDAD Y PROTECCION INTEGRAL"
148,"OFICINA DE TECNOLOGIA  (ESTRUCTURA ANTERIOR)"
226,"OFICINA DE TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION"
212,"PERSONAL PENSIONADOS Y JUBILADOS AGENCIA BOLIVARIANA  (ESTRUCTURA ANTERIOR)"
211,"PERSONAL PENSIONADOS Y JUBILADOS RADIO NACIONAL DE VENEZUELA  (ESTRUCTURA ANTERIOR)"
46,"PLANTA DE CARABOBO  (ESTRUCTURA ANTERIOR)"
49,"PLANTA DE PUERTO ORDAZ  (ESTRUCTURA ANTERIOR)"
45,"PLANTA LA RINCONADA  (ESTRUCTURA ANTERIOR)"
24,"UNIDAD DE AUDITORIA INTERNA (ESTRCTURA ANTERIOR)"
12,"VICEMINISTERIO DE ESTRATEGIA COMUNICACIONAL  (ESTRUCTURA ANTERIOR)"
13,"VICEMINISTERIO DE GESTIÓN COMUNICACIONAL  (ESTRUCTURA ANTERIOR)"
